DATE,UNEMPLOY
7/1/2002,8390
8/1/2002,8304
9/1/2002,8251
10/1/2002,8307
11/1/2002,8520
12/1/2002,8640
1/1/2003,8520
2/1/2003,8618
3/1/2003,8588
4/1/2003,8842
5/1/2003,8957
6/1/2003,9266
7/1/2003,9011
8/1/2003,8896
9/1/2003,8921
10/1/2003,8732
11/1/2003,8576
12/1/2003,8317
1/1/2004,8370
2/1/2004,8167
3/1/2004,8491
4/1/2004,8170
5/1/2004,8212
6/1/2004,8286
7/1/2004,8136
8/1/2004,7990
9/1/2004,7927
10/1/2004,8061
11/1/2004,7932
12/1/2004,7934
1/1/2005,7784
2/1/2005,7980
3/1/2005,7737
4/1/2005,7672
5/1/2005,7651
6/1/2005,7524
7/1/2005,7406
8/1/2005,7345
9/1/2005,7553
10/1/2005,7453
11/1/2005,7566
12/1/2005,7279
1/1/2006,7064
2/1/2006,7184
3/1/2006,7072
4/1/2006,7120
5/1/2006,6980
6/1/2006,7001
7/1/2006,7175
8/1/2006,7091
9/1/2006,6847
10/1/2006,6727
11/1/2006,6872
12/1/2006,6762
1/1/2007,7116
2/1/2007,6927
3/1/2007,6731
4/1/2007,6850
5/1/2007,6766
6/1/2007,6979
7/1/2007,7149
8/1/2007,7067
9/1/2007,7170
10/1/2007,7237
11/1/2007,7240
12/1/2007,7645
1/1/2008,7685
2/1/2008,7497
3/1/2008,7822
4/1/2008,7637
5/1/2008,8395
6/1/2008,8575
7/1/2008,8937
8/1/2008,9438
9/1/2008,9494
10/1/2008,10074
11/1/2008,10538
12/1/2008,11286
1/1/2009,12058
2/1/2009,12898
3/1/2009,13426
4/1/2009,13853
5/1/2009,14499
6/1/2009,14707
7/1/2009,14601
8/1/2009,14814
9/1/2009,15009
10/1/2009,15352
11/1/2009,15219
12/1/2009,15098
1/1/2010,15046
2/1/2010,15113
3/1/2010,15202
4/1/2010,15325
5/1/2010,14849
6/1/2010,14474
7/1/2010,14512
8/1/2010,14648
9/1/2010,14579
10/1/2010,14516
11/1/2010,15081
12/1/2010,14348
1/1/2011,14013
2/1/2011,13820
3/1/2011,13737
4/1/2011,13957
5/1/2011,13855
6/1/2011,13962
7/1/2011,13763
8/1/2011,13818
9/1/2011,13948
10/1/2011,13594
11/1/2011,13302
12/1/2011,13093
1/1/2012,12797
2/1/2012,12813
3/1/2012,12713
4/1/2012,12646
5/1/2012,12660
6/1/2012,12692
7/1/2012,12656
8/1/2012,12471
9/1/2012,12115
10/1/2012,12124
11/1/2012,12005
12/1/2012,12298
1/1/2013,12471
2/1/2013,11950
3/1/2013,11689
4/1/2013,11760
5/1/2013,11654
6/1/2013,11751
7/1/2013,11335
8/1/2013,11279
9/1/2013,11270
10/1/2013,11136
11/1/2013,10787
12/1/2013,10404
1/1/2014,10202
2/1/2014,10349
3/1/2014,10380
4/1/2014,9702
5/1/2014,9859
6/1/2014,9460
7/1/2014,9608
8/1/2014,9599
9/1/2014,9262
10/1/2014,8990
11/1/2014,9090
12/1/2014,8717
1/1/2015,8885
2/1/2015,8599
3/1/2015,8515
4/1/2015,8550
5/1/2015,8834
6/1/2015,8247
7/1/2015,8167
8/1/2015,7992
9/1/2015,7907
10/1/2015,7922
11/1/2015,8000
12/1/2015,7907
1/1/2016,7627
2/1/2016,7702
3/1/2016,7961
4/1/2016,8067
5/1/2016,7652
6/1/2016,7744
7/1/2016,7641
8/1/2016,7784
9/1/2016,7953
10/1/2016,7811
11/1/2016,7553
12/1/2016,7521
1/1/2017,7468
2/1/2017,7379
3/1/2017,7073
4/1/2017,7089
5/1/2017,7000
6/1/2017,6873
7/1/2017,6892
8/1/2017,7082
9/1/2017,6854
10/1/2017,6700
11/1/2017,6774
12/1/2017,6632
1/1/2018,6505
2/1/2018,6586
3/1/2018,6457
4/1/2018,6448
5/1/2018,6188
6/1/2018,6446
7/1/2018,6173
8/1/2018,6167
9/1/2018,6065
10/1/2018,6230
11/1/2018,6132
12/1/2018,6379
1/1/2019,6458
2/1/2019,6122
3/1/2019,6166
4/1/2019,5898
5/1/2019,5935
6/1/2019,5906
7/1/2019,5984
8/1/2019,5993
9/1/2019,5766
10/1/2019,5980
11/1/2019,5930
12/1/2019,5861
1/1/2020,5826
2/1/2020,5717
3/1/2020,7165
4/1/2020,23038
5/1/2020,20940
6/1/2020,17616
7/1/2020,16288
8/1/2020,13532
9/1/2020,12584
10/1/2020,11115
11/1/2020,10777
12/1/2020,10789
1/1/2021,10180
2/1/2021,9992
3/1/2021,9691
4/1/2021,9719
5/1/2021,9251
6/1/2021,9502
7/1/2021,8671
8/1/2021,8339
9/1/2021,7666
10/1/2021,7375
11/1/2021,6802
12/1/2021,6319
1/1/2022,6513
2/1/2022,6270
3/1/2022,5952
4/1/2022,5941
5/1/2022,5950
6/1/2022,5912
7/1/2022,5670
8/1/2022,6014
9/1/2022,5753
10/1/2022,#
