DATE,CLF16OV
1997-08-01,136618
1997-09-01,136675
1997-10-01,136633
1997-11-01,136961
1997-12-01,137155
1998-01-01,137095
1998-02-01,137112
1998-03-01,137236
1998-04-01,137150
1998-05-01,137372
1998-06-01,137455
1998-07-01,137588
1998-08-01,137570
1998-09-01,138286
1998-10-01,138279
1998-11-01,138381
1998-12-01,138634
1999-01-01,139003
1999-02-01,138967
1999-03-01,138730
1999-04-01,138959
1999-05-01,139107
1999-06-01,139329
1999-07-01,139439
1999-08-01,139430
1999-09-01,139622
1999-10-01,139771
1999-11-01,140025
1999-12-01,140177
2000-01-01,142267
2000-02-01,142456
2000-03-01,142434
2000-04-01,142751
2000-05-01,142388
2000-06-01,142591
2000-07-01,142278
2000-08-01,142514
2000-09-01,142518
2000-10-01,142622
2000-11-01,142962
2000-12-01,143248
2001-01-01,143800
2001-02-01,143701
2001-03-01,143924
2001-04-01,143569
2001-05-01,143318
2001-06-01,143357
2001-07-01,143654
2001-08-01,143284
2001-09-01,143989
2001-10-01,144086
2001-11-01,144240
2001-12-01,144305
2002-01-01,143883
2002-02-01,144653
2002-03-01,144481
2002-04-01,144725
2002-05-01,144938
2002-06-01,144808
2002-07-01,144803
2002-08-01,145009
2002-09-01,145552
2002-10-01,145314
2002-11-01,145041
2002-12-01,145066
2003-01-01,145937
2003-02-01,146100
2003-03-01,146022
2003-04-01,146474
2003-05-01,146500
2003-06-01,147056
2003-07-01,146485
2003-08-01,146445
2003-09-01,146530
2003-10-01,146716
2003-11-01,147000
2003-12-01,146729
2004-01-01,146842
2004-02-01,146709
2004-03-01,146944
2004-04-01,146850
2004-05-01,147065
2004-06-01,147460
2004-07-01,147692
2004-08-01,147564
2004-09-01,147415
2004-10-01,147793
2004-11-01,148162
2004-12-01,148059
2005-01-01,148029
2005-02-01,148364
2005-03-01,148391
2005-04-01,148926
2005-05-01,149261
2005-06-01,149238
2005-07-01,149432
2005-08-01,149779
2005-09-01,149954
2005-10-01,150001
2005-11-01,150065
2005-12-01,150030
2006-01-01,150214
2006-02-01,150641
2006-03-01,150813
2006-04-01,150881
2006-05-01,151069
2006-06-01,151354
2006-07-01,151377
